iter	Passed	Remaining
0	11954	11942151
1	22695	11325143
2	35082	11659106
3	47326	11784299
4	57876	11517401
5	68456	11340943
6	79237	11240390
7	90684	11244872
8	103946	11445672
9	114560	11341501
10	124616	11204133
11	135460	11152912
12	145621	11056050
13	156524	11023767
14	169030	11099700
15	183004	11254799
16	194820	11265188
17	207255	11306913
18	219920	11354832
19	230027	11271368
20	240754	11223752
21	254301	11304846
22	267129	11347211
23	278822	11338801
24	290692	11336988
25	304584	11410217
26	317237	11432303
27	327779	11378643
28	341164	11423124
29	353063	11415720
30	364276	11386582
31	376892	11400999
32	389768	11421406
33	402288	11429739
34	414588	11430806
35	427399	11444817
36	437294	11381479
37	448107	11344201
38	459848	11331143
39	479137	11499303
40	502684	11757908
41	515604	11760695
42	529970	11794924
43	542465	11786302
44	552158	11718034
45	562609	11668040
46	574804	11655084
47	587684	11655739
48	597933	11604781
49	608447	11560494
50	619105	11520218
51	631747	11517248
52	641916	11469724
53	653549	11449222
54	664444	11416366
55	675342	11384337
56	684821	11329589
57	699777	11365345
58	711641	11350079
59	722260	11315409
60	734469	11306009
61	744101	11257535
62	756148	11246207
63	767552	11225461
64	782599	11257392
65	794205	11239215
66	806112	11225421
67	816593	11192134
68	827673	11167594
69	838397	11138711
70	848622	11103802
71	859997	11084406
72	870721	11056967
73	881478	11030387
74	892742	11010496
75	903129	10980158
76	913909	10955050
77	923849	10920379
78	936791	10921326
79	948956	10912998
80	961240	10905921
81	973538	10898885
82	985402	10886920
83	996002	10861173
84	1008484	10856042
85	1022270	10864594
86	1032341	10833647
87	1046339	10843882
88	1060349	10853690
89	1074904	10868480
90	1091712	10905123
91	1103848	10894506
92	1115638	10880474
93	1131620	10906894
94	1144132	10899366
95	1154184	10868567
96	1166756	10861663
97	1177457	10837416
98	1189122	10822212
99	1200898	10808084
100	1213554	10801835
101	1225075	10785472
102	1236797	10770947
103	1248258	10754225
104	1258941	10730979
105	1271222	10721440
106	1282002	10699328
107	1292624	10676121
108	1303867	10658216
109	1315200	10641165
110	1327784	10634237
111	1336725	10598323
112	1347664	10578568
113	1358654	10559366
114	1370020	10543199
115	1379876	10515611
116	1391360	10500606
117	1403113	10487681
118	1414661	10473248
119	1424720	10447947
120	1437806	10444891
121	1448164	10422037
122	1458612	10400026
123	1468779	10376219
124	1479934	10359542
125	1490172	10336592
126	1500780	10316385
127	1511694	10298415
128	1526192	10304757
129	1538853	10298482
130	1550570	10285847
131	1562183	10272539
132	1572171	10248667
133	1581748	10222344
134	1592675	10204922
135	1602816	10182597
136	1615333	10175421
137	1627803	10167874
138	1642775	10175754
139	1658881	10190270
140	1677406	10219091
141	1688696	10203533
142	1700726	10192467
143	1726488	10263016
144	1755988	10354277
145	1788557	10461835
146	1814328	10528040
147	1831306	10542385
148	1846084	10543745
149	1860995	10545639
150	1874290	10538231
151	1891081	10550244
152	1902133	10530112
153	1912909	10508581
154	1923016	10483542
155	1933859	10462675
156	1945278	10445032
157	1958938	10439405
158	1974790	10445274
159	1987063	10432083
160	2000109	10422931
161	2011231	10403775
162	2025683	10401822
163	2036181	10379560
164	2047625	10362223
165	2057619	10337677
166	2068663	10318543
167	2080232	10302104
168	2092262	10287989
169	2103668	10270851
170	2117065	10263434
171	2131516	10261022
172	2148912	10272545
173	2161284	10259892
174	2175043	10253775
175	2187108	10239645
176	2201072	10234367
177	2211096	10210792
178	2225060	10205442
179	2235839	10185492
180	2248759	10175326
181	2265144	10180706
182	2278694	10173188
183	2292323	10165954
184	2304292	10151342
185	2316845	10139310
186	2327496	10119010
187	2340546	10109168
188	2351257	10089256
189	2363630	10076529
190	2377881	10071759
191	2389239	10054716
192	2400152	10035872
193	2411922	10020666
194	2423154	10003280
195	2433981	9984292
196	2445539	9968367
197	2458250	9957154
198	2473636	9956698
199	2490807	9963229
200	2506092	9962029
201	2517998	9947342
202	2530659	9935644
203	2542805	9921926
204	2553744	9903547
205	2564645	9885091
206	2578792	9879143
207	2590537	9863970
208	2601574	9846151
209	2618560	9850773
210	2629469	9832472
211	2640098	9813197
212	2653703	9804999
213	2665857	9791420
214	2677409	9775659
215	2689236	9760931
216	2702095	9749956
217	2712901	9731600
218	2724879	9717492
219	2737483	9705621
220	2748156	9686941
221	2759247	9669794
222	2771161	9655570
223	2783608	9643213
224	2795440	9628740
225	2806444	9611453
226	2817968	9595988
