iter	Logloss	Accuracy
0	0.6819672405	0.8087739033
1	0.6733232539	0.8053993251
2	0.6644360514	0.8087739033
3	0.6579933213	0.8020247469
4	0.6510364628	0.8020247469
5	0.6437723632	0.7941507312
6	0.636123388	0.7952755906
7	0.6287414445	0.7952755906
8	0.6225295852	0.7941507312
9	0.6156730794	0.7941507312
10	0.6108103176	0.7919010124
11	0.6059891316	0.7919010124
12	0.6001438522	0.7930258718
13	0.5944908756	0.7930258718
14	0.5904032419	0.7919010124
15	0.5848058066	0.7919010124
16	0.5808906386	0.790776153
17	0.5752289632	0.7919010124
18	0.5693098594	0.7930258718
19	0.5642215651	0.7930258718
20	0.5595332294	0.7941507312
21	0.5562682209	0.7930258718
22	0.5516707567	0.7952755906
23	0.547417881	0.7952755906
24	0.5426766905	0.8008998875
25	0.5387378957	0.8031496063
26	0.534898355	0.8042744657
27	0.5309030241	0.8087739033
28	0.5271491913	0.8087739033
29	0.5240993951	0.8076490439
30	0.5207785339	0.8132733408
31	0.5185866544	0.8098987627
32	0.5152854521	0.8098987627
33	0.5129133053	0.8076490439
34	0.5098721957	0.811023622
35	0.5074037877	0.811023622
36	0.5046563126	0.811023622
37	0.5032699572	0.8087739033
38	0.5019316238	0.8087739033
39	0.4993725092	0.8098987627
40	0.4956914887	0.8143982002
41	0.4945028846	0.8143982002
42	0.4922133991	0.8143982002
43	0.4898690908	0.8143982002
44	0.4888125885	0.811023622
45	0.4868896865	0.8121484814
46	0.4858820827	0.811023622
47	0.4849353771	0.811023622
48	0.4840210341	0.811023622
49	0.4821608203	0.811023622
50	0.4806763323	0.811023622
51	0.4789285922	0.811023622
52	0.4781343425	0.811023622
53	0.4754411694	0.8132733408
54	0.4734643239	0.8132733408
55	0.4721313597	0.8132733408
56	0.4696709886	0.8132733408
57	0.4682274989	0.8132733408
58	0.4669114403	0.8132733408
59	0.4666643357	0.8132733408
60	0.4655049562	0.8143982002
61	0.4629949189	0.8143982002
62	0.4623611167	0.8143982002
63	0.46181157	0.8143982002
64	0.4607887814	0.8143982002
65	0.4602348091	0.8143982002
66	0.459741229	0.8143982002
67	0.4588615773	0.8143982002
68	0.4583619803	0.8143982002
69	0.4580730308	0.8143982002
70	0.4577603879	0.8143982002
71	0.4571438991	0.8143982002
72	0.4561462669	0.8143982002
73	0.4557695709	0.8143982002
74	0.4550329143	0.816647919
75	0.4537761861	0.816647919
76	0.4525207462	0.816647919
77	0.4519545643	0.816647919
78	0.4515752997	0.816647919
79	0.4513529901	0.816647919
80	0.4505854684	0.816647919
81	0.4498939511	0.816647919
82	0.4496320584	0.816647919
83	0.4489326095	0.816647919
84	0.4485140447	0.816647919
85	0.4469794596	0.816647919
86	0.446513652	0.816647919
87	0.4455569122	0.816647919
88	0.4451465221	0.816647919
89	0.4448248336	0.816647919
90	0.4445252905	0.816647919
91	0.4444253093	0.816647919
92	0.4440346684	0.8188976378
93	0.443607708	0.8188976378
94	0.4429602329	0.8177727784
95	0.4427167806	0.8177727784
96	0.4426782743	0.8177727784
97	0.4422952907	0.8177727784
98	0.4421501105	0.8177727784
99	0.4414519221	0.816647919
100	0.4412225895	0.816647919
101	0.4405988889	0.816647919
102	0.4398889005	0.8177727784
103	0.4395692448	0.8177727784
104	0.4394921384	0.8177727784
105	0.4390459642	0.8177727784
106	0.4388245336	0.8177727784
107	0.4387989363	0.8177727784
108	0.4385169001	0.8177727784
109	0.4383088465	0.8177727784
110	0.4382010918	0.8177727784
111	0.4377634398	0.8188976378
112	0.437325579	0.8200224972
113	0.4371381253	0.8200224972
114	0.43659767	0.8200224972
115	0.4361457012	0.8200224972
116	0.4360530528	0.8200224972
117	0.4354932024	0.8200224972
118	0.4352462929	0.8200224972
119	0.4348384055	0.8200224972
120	0.4347398738	0.8200224972
121	0.4337196717	0.8200224972
122	0.4334006594	0.8200224972
123	0.433080698	0.8200224972
124	0.4329685149	0.8200224972
125	0.4324977056	0.8200224972
126	0.4323205554	0.8200224972
127	0.4321012728	0.8200224972
128	0.4319562571	0.8200224972
129	0.4317236063	0.8200224972
130	0.431574493	0.8200224972
131	0.4311007633	0.8200224972
132	0.4310208404	0.8200224972
133	0.4307125594	0.8200224972
134	0.4302262981	0.8200224972
135	0.4296184694	0.8188976378
136	0.4295057343	0.8200224972
137	0.4292840036	0.8188976378
138	0.4289819035	0.8188976378
139	0.4286919911	0.8188976378
140	0.4285873441	0.8188976378
141	0.4282445136	0.8188976378
142	0.4278566153	0.8188976378
143	0.4274331561	0.8188976378
144	0.4272343716	0.8188976378
145	0.4270404321	0.8188976378
146	0.426330568	0.8188976378
147	0.426126346	0.8188976378
148	0.4261206556	0.8188976378
149	0.425996411	0.8188976378
150	0.4257705031	0.8188976378
151	0.4254771831	0.8188976378
152	0.4253635952	0.8188976378
153	0.4252218509	0.8188976378
154	0.4251308533	0.8188976378
155	0.4246943822	0.8188976378
156	0.4246891136	0.8188976378
157	0.4246020298	0.8188976378
158	0.4238069977	0.8200224972
159	0.423760062	0.8200224972
160	0.4236276955	0.8188976378
161	0.4236239772	0.8188976378
162	0.4234728115	0.8188976378
163	0.4234693578	0.8188976378
164	0.4233731819	0.8188976378
165	0.4231963778	0.8177727784
166	0.4228201548	0.8188976378
167	0.4227483386	0.8188976378
168	0.4226277737	0.8188976378
169	0.4223625587	0.8188976378
170	0.4219142122	0.8188976378
171	0.4216731743	0.8188976378
172	0.4211847342	0.8211473566
173	0.4211203997	0.8211473566
174	0.4208904848	0.8211473566
175	0.4207324205	0.8211473566
176	0.4200304264	0.8211473566
177	0.4199646387	0.8200224972
178	0.4199609194	0.8200224972
179	0.4197490221	0.822272216
180	0.4197068137	0.822272216
181	0.4196419743	0.8211473566
182	0.4195407555	0.8211473566
183	0.4194841448	0.822272216
184	0.4194134868	0.8211473566
185	0.4193463551	0.822272216
186	0.4191243701	0.8233970754
187	0.4190769102	0.8233970754
188	0.4185772312	0.822272216
189	0.4184709391	0.822272216
190	0.4183268296	0.822272216
191	0.4182861639	0.822272216
192	0.4179312604	0.822272216
193	0.4178653443	0.822272216
194	0.4178255119	0.822272216
195	0.41730913	0.8233970754
196	0.4170462629	0.8233970754
197	0.4167658799	0.8233970754
198	0.4166952995	0.8233970754
199	0.4166218152	0.8233970754
200	0.416564778	0.822272216
201	0.4164130459	0.822272216
202	0.4163681646	0.822272216
203	0.4163674233	0.822272216
204	0.4161472234	0.822272216
205	0.4160246909	0.822272216
206	0.4159180692	0.822272216
207	0.4159101649	0.822272216
208	0.4156102524	0.822272216
209	0.4153466506	0.822272216
210	0.4152552547	0.822272216
211	0.4148909573	0.822272216
212	0.4148402891	0.822272216
213	0.4147875409	0.822272216
214	0.4147209065	0.822272216
215	0.4147204226	0.822272216
216	0.4146482627	0.822272216
217	0.4145684911	0.822272216
218	0.4145063713	0.822272216
219	0.4143341805	0.822272216
220	0.4142217581	0.822272216
221	0.4141822702	0.822272216
222	0.4140170681	0.8211473566
223	0.4139167152	0.822272216
224	0.4138583315	0.822272216
225	0.4136390458	0.822272216
226	0.4133539684	0.822272216
227	0.4132795818	0.822272216
228	0.4130266798	0.822272216
229	0.4128705418	0.822272216
230	0.4122770004	0.822272216
231	0.4122623922	0.822272216
232	0.4122217777	0.822272216
233	0.4121886493	0.822272216
234	0.4119222668	0.822272216
235	0.4118880814	0.822272216
236	0.4118567559	0.822272216
237	0.4117847668	0.822272216
238	0.4117845854	0.822272216
239	0.4117068505	0.822272216
240	0.4116789513	0.822272216
241	0.4116787894	0.822272216
242	0.4115018623	0.822272216
243	0.4114932846	0.822272216
244	0.4114794852	0.822272216
245	0.4114172823	0.822272216
246	0.411341734	0.822272216
247	0.4112906271	0.8211473566
248	0.4109832263	0.822272216
249	0.4109492921	0.8233970754
250	0.4109374565	0.8233970754
251	0.4108375566	0.8233970754
252	0.4105074218	0.8233970754
253	0.410376709	0.822272216
254	0.4103513316	0.822272216
255	0.4103488098	0.822272216
256	0.410147448	0.8233970754
257	0.4101287729	0.8233970754
258	0.4101006875	0.8233970754
259	0.4100656152	0.8233970754
260	0.4095809177	0.8233970754
261	0.4095677105	0.8233970754
262	0.4094816358	0.8233970754
263	0.4094072649	0.8233970754
264	0.4093806125	0.8233970754
265	0.40931241	0.8233970754
266	0.4092616316	0.8233970754
267	0.4089702072	0.8233970754
268	0.4088971886	0.8233970754
269	0.4088971342	0.8233970754
270	0.4088962357	0.8233970754
271	0.4088630684	0.8233970754
272	0.4088336125	0.8233970754
273	0.4087396042	0.8233970754
274	0.4086885269	0.8233970754
275	0.4086884843	0.8233970754
276	0.4085886736	0.8233970754
277	0.4085827463	0.8233970754
278	0.4084249647	0.8245219348
279	0.4084249325	0.8245219348
280	0.4084141349	0.8245219348
281	0.4083882859	0.8245219348
282	0.4081933541	0.8245219348
283	0.4079659543	0.8233970754
284	0.4079365815	0.8245219348
285	0.4078704342	0.8233970754
286	0.4077077931	0.8245219348
287	0.4074855803	0.8245219348
288	0.4073355942	0.8245219348
289	0.4073118364	0.8245219348
290	0.4072756509	0.8245219348
291	0.4072627738	0.8245219348
292	0.4072627582	0.8245219348
293	0.4072287397	0.8245219348
294	0.4072197551	0.8245219348
295	0.407185847	0.8245219348
