iter	Passed	Remaining
0	118	118763
1	173	86636
2	242	80557
3	289	72034
4	361	71910
5	424	70281
6	505	71693
7	581	72092
8	641	70595
9	686	67964
10	743	66811
11	804	66256
12	907	68912
13	934	65781
14	959	63007
15	990	60928
16	1016	58770
17	1058	57723
18	1112	57446
19	1183	57999
20	1280	59685
21	1306	58091
22	1346	57187
23	1380	56121
24	1433	55897
25	1477	55351
26	1524	54930
27	1578	54783
28	1607	53839
29	1656	53564
30	1695	53007
31	1760	53264
32	1807	52971
33	1850	52566
34	1920	52950
35	1963	52573
36	2033	52924
37	2062	52217
38	2092	51565
39	2167	52030
40	2230	52168
41	2253	51400
42	2295	51082
43	2361	51309
44	2389	50715
45	2450	50818
46	2486	50423
47	2506	49715
48	2528	49065
49	2592	49264
50	2673	49753
51	2717	49536
52	2757	49270
53	2827	49537
54	2907	49948
55	2944	49631
56	3006	49743
57	3054	49614
58	3096	49382
59	3116	48820
60	3166	48736
61	3216	48666
62	3250	48349
63	3269	47818
64	3293	47372
65	3328	47103
66	3347	46613
67	3383	46378
68	3421	46163
69	3441	45722
70	3467	45365
71	3502	45137
72	3550	45091
73	3583	44842
74	3632	44798
75	3682	44767
76	3732	44746
77	3765	44505
78	3806	44375
79	3837	44131
80	3919	44471
81	4006	44856
82	4058	44836
83	4110	44823
84	4164	44828
85	4264	45318
86	4354	45692
87	4433	45943
88	4478	45842
89	4556	46072
90	4643	46387
91	4706	46455
92	4822	47035
93	4859	46834
94	4911	46788
95	4944	46563
96	4956	46140
97	4984	45878
98	5009	45589
99	5071	45645
100	5127	45642
101	5187	45670
102	5258	45792
103	5298	45646
104	5337	45499
105	5387	45438
106	5419	45228
107	5438	44920
108	5484	44830
109	5532	44766
110	5576	44660
111	5620	44564
112	5698	44733
113	5754	44722
114	5830	44869
115	5903	44990
116	5936	44801
117	6002	44865
118	6052	44810
119	6099	44729
120	6130	44535
121	6177	44456
122	6226	44396
123	6269	44288
124	6292	44050
125	6369	44180
126	6419	44129
127	6476	44118
128	6517	44005
129	6593	44123
130	6651	44125
131	6697	44042
132	6726	43849
133	6764	43716
134	6821	43711
135	6870	43649
136	6900	43470
137	6955	43446
138	7014	43449
139	7066	43408
140	7085	43169
141	7137	43128
142	7200	43153
143	7250	43100
144	7292	42997
145	7323	42839
146	7365	42742
147	7404	42624
148	7416	42357
149	7450	42219
150	7509	42220
151	7561	42183
152	7628	42231
153	7694	42267
154	7742	42208
155	7844	42440
156	7866	42241
157	7907	42141
158	7967	42140
159	7996	41984
160	8039	41892
161	8062	41708
162	8105	41620
163	8127	41431
164	8151	41251
165	8196	41178
166	8246	41135
167	8276	40990
168	8320	40912
169	8367	40854
170	8423	40836
171	8472	40783
172	8527	40763
173	8597	40813
174	8640	40734
175	8690	40687
176	8766	40760
177	8809	40680
178	8827	40488
179	8884	40472
180	8912	40326
181	8932	40146
182	8963	40018
183	8986	39851
184	9011	39701
185	9045	39584
186	9084	39496
187	9116	39373
188	9173	39361
189	9214	39283
190	9279	39305
191	9338	39298
192	9469	39595
193	9507	39500
194	9533	39355
195	9603	39393
196	9694	39514
197	9790	39654
198	9859	39687
199	9900	39603
200	9924	39451
201	9968	39381
202	9984	39201
203	10002	39030
204	10049	38972
205	10086	38878
206	10125	38791
207	10144	38625
208	10218	38672
209	10262	38608
210	10300	38518
211	10340	38436
212	10380	38354
213	10396	38186
214	10448	38148
215	10479	38038
216	10576	38163
217	10622	38104
218	10666	38039
219	10708	37965
220	10780	37999
221	10817	37910
222	10860	37840
223	10903	37773
224	10979	37818
225	11052	37851
226	11097	37790
227	11133	37697
228	11179	37640
229	11219	37561
230	11262	37493
231	11292	37381
232	11311	37234
233	11335	37105
234	11373	37025
235	11432	37010
236	11458	36889
237	11488	36781
238	11499	36616
239	11560	36606
240	11584	36485
241	11597	36324
242	11646	36281
243	11665	36143
244	11685	36011
245	11733	35963
246	11788	35939
247	11833	35881
248	11879	35830
249	11904	35712
250	11928	35596
251	11967	35523
252	12035	35534
253	12077	35471
254	12116	35398
255	12138	35278
256	12191	35245
257	12214	35128
258	12255	35063
259	12275	34939
260	12324	34895
261	12346	34777
262	12387	34713
263	12419	34623
264	12461	34562
265	12497	34485
266	12516	34362
267	12562	34313
268	12587	34205
269	12608	34089
270	12635	33989
271	12658	33879
272	12678	33762
273	12736	33747
274	12790	33720
275	12811	33606
276	12897	33663
277	12934	33591
278	13017	33640
279	13045	33546
280	13099	33518
281	13140	33457
282	13187	33411
283	13233	33362
284	13257	33260
285	13284	33165
286	13342	33147
287	13403	33137
288	13469	33138
289	13497	33044
290	13529	32962
291	13573	32910
292	13597	32811
293	13636	32745
294	13680	32694
295	13725	32643
296	13774	32603
297	13787	32478
298	13806	32368
299	13833	32278
300	13881	32235
301	13920	32172
302	13962	32117
303	13999	32051
304	14058	32035
305	14106	31993
306	14139	31918
307	14166	31829
308	14196	31747
309	14218	31647
310	14233	31534
311	14256	31437
312	14266	31313
313	14295	31231
314	14317	31133
315	14365	31095
316	14426	31083
317	14465	31024
318	14542	31044
319	14626	31082
320	14654	30998
321	14707	30969
322	14767	30952
323	14815	30910
324	14845	30831
325	14898	30802
326	14947	30763
327	14997	30727
328	15022	30637
329	15047	30551
330	15075	30469
331	15098	30378
332	15159	30365
333	15198	30305
334	15237	30247
335	15275	30186
336	15296	30094
337	15318	30001
338	15345	29922
339	15362	29821
340	15383	29730
341	15414	29657
342	15426	29548
343	15452	29468
344	15476	29383
345	15499	29297
346	15551	29265
347	15585	29200
348	15647	29188
349	15671	29105
350	15706	29041
351	15745	28986
352	15801	28962
353	15819	28867
354	15838	28776
355	15884	28734
356	15899	28637
357	15944	28593
358	15972	28518
359	16014	28469
360	16064	28434
361	16117	28405
362	16195	28419
363	16222	28344
364	16267	28301
365	16311	28254
366	16370	28236
367	16400	28165
368	16456	28140
369	16498	28091
370	16547	28054
371	16616	28051
372	16707	28084
373	16765	28062
374	16790	27983
375	16854	27970
376	16879	27894
377	16925	27850
378	16968	27803
379	17030	27786
380	17053	27706
381	17087	27644
382	17134	27603
383	17179	27558
384	17226	27516
385	17256	27449
386	17280	27372
387	17302	27292
388	17332	27223
389	17397	27211
390	17451	27180
391	17485	27120
392	17534	27083
393	17630	27116
394	17710	27125
395	17763	27093
396	17811	27053
397	17862	27018
398	17909	26975
399	17952	26928
400	17989	26871
401	18014	26797
402	18058	26752
403	18109	26716
404	18179	26708
405	18250	26701
406	18296	26658
407	18340	26611
408	18382	26561
409	18413	26497
410	18435	26419
411	18477	26371
412	18504	26300
413	18619	26355
414	18690	26346
415	18718	26277
416	18755	26221
417	18789	26162
418	18838	26121
419	18911	26116
420	18953	26066
421	18987	26007
422	19017	25940
423	19050	25879
424	19098	25839
425	19123	25767
426	19154	25703
427	19194	25652
428	19218	25580
429	19250	25518
430	19271	25442
431	19294	25368
432	19331	25313
433	19354	25241
434	19380	25172
435	19433	25138
436	19475	25090
437	19527	25055
438	19596	25042
439	19709	25084
440	19780	25073
441	19814	25015
442	19858	24968
443	19913	24936
444	19960	24894
445	19976	24814
446	20002	24746
447	20045	24698
448	20085	24648
449	20131	24605
450	20171	24554
451	20222	24517
452	20278	24486
453	20317	24434
454	20356	24382
455	20533	24495
456	20595	24471
